id,message,label,category
1,"URGENT: Your SBI account has been blocked. Verify your KYC immediately at bit.ly/sbi-kyc-verify to avoid suspension.",scam,smishing
2,"Congratulations! You have won ₹25 Lakh in the KBC Lucky Draw. Call 9876543210 to claim your prize today.",scam,lottery
3,"Your OTP for transaction is 482913. Do not share this OTP with anyone. OTP expires in 5 minutes.",scam,otp
4,"Dear customer, your HDFC account is suspended. Update your PAN card at http://hdfcbank-kyc.xyz/update now.",scam,phishing
5,"This is Amazon customer support. Your account shows suspicious activity. Share your OTP to secure your account.",scam,vishing
6,"You've been selected for a work-from-home job. Earn ₹50,000/month. Pay ₹2,000 registration to start immediately.",scam,job
7,"ALERT: Your Paytm wallet will be deactivated. Click here to complete KYC: bit.ly/paytm-update-kyc",scam,smishing
8,"We are from CBI. An Aadhaar card registered in your name is involved in money laundering. Press 1 to speak with officer.",scam,vishing
9,"Your Netflix subscription has expired. Update payment now at bit.ly/netflix-pay to continue watching.",scam,phishing
10,"Dear winner, your email ID has won $1,000,000 in the Google Annual Award. Provide your bank details to claim.",scam,lottery
11,"Flipkart: Your order #FK789012 is on hold. Pay ₹99 clearance fee at bit.ly/flipkart-clear to release delivery.",scam,smishing
12,"FINAL NOTICE: Your Aadhaar linked mobile number will be deactivated in 24 hours. Call 1800-XXX-XXXX immediately.",scam,vishing
13,"Hi I am from Microsoft. Your computer is sending virus signals. Allow remote access now to fix the issue: anydesk.com/xxx",scam,tech_support
14,"Urgent: Unusual sign-in to your Gmail detected. Verify identity now or account locked: bit.ly/gmail-verify-2024",scam,phishing
15,"Crypto Investment Opportunity! Earn 25% monthly returns guaranteed. Join our exclusive group. WhatsApp +1-555-INVEST",scam,investment
16,"Your package from DTDC is held at customs. Pay ₹250 release fee at: cutt.ly/dtdc-customs-release",scam,smishing
17,"Respected sir, this is the Income Tax Department. Your PAN has been blacklisted. Call immediately to avoid arrest.",scam,vishing
18,"Lottery Commission of India. You have won ₹50 Lakh. Send ₹5,000 processing fee to release funds. Ref: LC2024-7721",scam,lottery
19,"Act now! Your electricity connection will be cut tonight. Call 9988776655 to update your meter immediately.",scam,smishing
20,"FREE iPhone 15 Pro! You are our 1,000,000th visitor. Click to claim: tinyurl.com/free-iphone-claim-now",scam,phishing
21,"WhatsApp is expiring! Renew now: bit.ly/whatsapp-renew-free or your account will be deleted in 24 hours.",scam,smishing
22,"Investment Alert: Double your money in 30 days with our AI trading bot. ₹10,000 becomes ₹20,000 guaranteed!",scam,investment
23,"Your insurance claim of ₹1,20,000 is approved. Share your bank account number and IFSC to receive funds.",scam,smishing
24,"This is TRAI. Your mobile number will be disconnected for illegal activity. Press 9 to speak with officer.",scam,vishing
25,"Amazon: Unverified login from another country. Verify account or it will be suspended: rb.gy/amazon-secure",scam,phishing
26,"Scholarship for students! Get ₹50,000 annually. Apply now — pay ₹3,000 processing fee to enroll.",scam,job
27,"Your CIBIL score is damaged. Our experts will fix it in 7 days for ₹5,000. Call 9123456789 for guarantee fix.",scam,financial
28,"Breaking: COVID relief fund ₹10,000 per family. Register now with Aadhaar and bank details: cutt.ly/covid-relief",scam,phishing
29,"Your car insurance expires today! Renew at 50% discount. Pay now at goo.gl/ins-renew or coverage lapses.",scam,smishing
30,"We are police. Your number is linked to cybercrime. Pay ₹50,000 bail online to avoid arrest immediately.",scam,vishing
31,"Telegram Premium FREE! Activate before midnight: bit.ly/tg-premium-free-2024. Limited slots only!",scam,smishing
32,"Earn ₹3,000 daily by liking YouTube videos from home. Register for ₹1,500 starter kit. Guaranteed income!",scam,job
33,"Your Aadhaar is being misused for a SIM card. Block immediately: is.gd/aadhaar-sim-block or face legal action.",scam,smishing
34,"HDFC Bank: ₹8,500 cashback credited. Collect via: bit.ly/hdfc-cashback-collect. Valid for 2 hours only!",scam,smishing
35,"Important: Google Pay account will be suspended. Verify UPI pin at: adf.ly/gpay-verify to avoid block.",scam,phishing
36,"Congratulations! Your PF withdrawal of ₹45,000 is approved. Share OTP received on mobile to process.",scam,otp
37,"UPI Transaction Alert: ₹15,000 debited. If not done by you, call 1800-XXX-XXXX and share OTP to reverse.",scam,otp
38,"PM Kisan Yojana: ₹6,000 credit pending. Update your bank account at: cutt.ly/pmkisan-update to receive funds.",scam,phishing
39,"You are selected for mystery shopper job. Receive ₹5,000 first, then buy gift cards and send codes. Easy work!",scam,job
40,"Security Alert: Your SBI net banking is locked. Reset via: bit.ly/sbi-netbanking-unlock. Do not delay!",scam,phishing
