id,message,label,category
1,"Your OTP for SBI internet banking login is 574831. Valid for 10 minutes. Do not share with anyone.",safe,banking
2,"HDFC Bank: Your credit card ending 4521 was used for ₹1,250 at BigBazaar on 25-Jul-26 at 3:14PM. If not you call 1860.",safe,banking
3,"Hey, are you coming for dinner tonight? Let me know by 6 PM.",safe,personal
4,"Flipkart: Your order #9812345 for OnePlus Buds Z2 has been shipped. Expected delivery: 27-Jul. Track: flipkart.com/orders",safe,ecommerce
5,"Amazon: Your order #113-2847591 is out for delivery today. You can track it at amazon.in/orders",safe,ecommerce
6,"Google: A new sign-in on Chrome on Windows. If this was you, no action needed. If not, visit myaccount.google.com/security",safe,security
7,"Reminder: Your appointment with Dr. Sharma is tomorrow at 11:00 AM at City Hospital, 3rd floor. Call 022-2345-6789 to reschedule.",safe,reminder
8,"ICICI Bank: Statement for account ending 8934 for June 2026 is ready. View at icicibank.com or mobile app.",safe,banking
9,"Ola: Your ride has arrived. OLA-XXXX4321 (White Swift) at Gate 2. Please board within 3 minutes.",safe,ecommerce
10,"Swiggy: Your order from McDonald's is confirmed. Estimated delivery: 35 mins. Track live at swiggy.com/track",safe,ecommerce
11,"Hi, this is Riya from HR. Your interview is scheduled for Monday 10 AM in Conference Room B. Please bring original documents.",safe,work
12,"Paytm: ₹500 sent to mobile 9876543210 successfully. UPI Ref: 245678901234. Check history at paytm.com",safe,banking
13,"Your Airtel postpaid bill of ₹799 for June 2026 is generated. Pay before 5th July to avoid late fee. Pay at airtel.in/pay",safe,utility
14,"Zomato: Your order from Domino's Pizza is confirmed. Your pizza will arrive in 40 minutes. Order ID: #ZO782334",safe,ecommerce
15,"PhonePe: ₹1,200 received from Ankit Sharma. UPI Ref: 567890123456. Balance updated. Check PhonePe app for details.",safe,banking
16,"BSNL: Your number 98XXXXXXXX is active. Bill amount ₹299 due 10-Aug-26. Pay online at bsnl.co.in/payment",safe,utility
17,"Meeting reminder: Project review with the team at 3 PM in the Zoom link sent earlier. Please be on time.",safe,work
18,"LinkedIn: Rahul Desai has accepted your connection request. 500+ connections now. View profile at linkedin.com",safe,social
19,"Your IRCTC e-ticket for train 12951 on 28-Jul (Mumbai to Delhi) has been booked. PNR: 4512678901. Check status at irctc.co.in",safe,ecommerce
20,"Happy Birthday! Wishing you a wonderful day filled with joy and happiness. Hope all your dreams come true!",safe,personal
